vae_loss,recon_loss,kl_loss,dyn_loss
1.0039859,0.39682946,0.0039262287,1.2103868
0.9218267,0.3757488,0.0036965096,1.0884593
0.9142535,0.35813174,0.0034606394,1.1087829
0.9170794,0.357332,0.0030400956,1.1164547
1.0736057,0.41351467,0.0029215335,1.3172605
0.9965466,0.42089188,0.0024280238,1.1488816
0.84274006,0.3663901,0.0027228699,0.9499771
0.8801552,0.3451744,0.0025508732,1.0674107
1.129297,0.40413466,0.003195997,1.4471288
0.9483025,0.33799383,0.0028957583,1.2177216
1.0312848,0.37953678,0.0025361206,1.30096
0.9796002,0.33464402,0.0036175617,1.2862947
0.9983759,0.3356919,0.00515819,1.3202097
0.83942604,0.3657877,0.004186334,0.94309026
1.1926999,0.39880973,0.005654892,1.5821255
1.0082474,0.3518158,0.0046232212,1.30824
0.82423615,0.31025654,0.005715688,1.0222435
0.7808522,0.29406136,0.0069418345,0.96663976
1.0843627,0.31680244,0.0047885114,1.5303322
0.898085,0.3141372,0.006109837,1.1617857
1.0151539,0.33671516,0.010236264,1.3466412
1.0365171,0.3950418,0.007467427,1.2754833
0.9499054,0.32184055,0.008446662,1.247683
0.9100813,0.32435,0.011470437,1.1599922
0.9777975,0.319935,0.016639506,1.2990855
0.77144617,0.31946665,0.01153296,0.8924261
0.7946017,0.28983432,0.011486519,0.9980481
1.1456621,0.32317704,0.014443106,1.6305269
1.0171908,0.30048096,0.019302687,1.414117
0.8351802,0.29692507,0.023308648,1.0532017
0.8734957,0.35598406,0.026613148,1.0084101
0.8828871,0.31601202,0.023500625,1.1102496
0.95709455,0.35864708,0.027048685,1.1698463
0.88764405,0.27963597,0.03887451,1.1771417
0.7023542,0.2804634,0.030517206,0.8132644
0.870602,0.2791812,0.028000765,1.1548408
0.88044405,0.2652805,0.037435,1.1928922
0.8158615,0.2896034,0.046523344,1.0059929
0.96911526,0.25735295,0.04293809,1.3805865
0.88543427,0.2672418,0.046461485,1.1899234
0.7520628,0.2661337,0.05272932,0.91912895
0.87580186,0.24201904,0.06452507,1.2030406
0.7703637,0.2667311,0.069801144,0.93746394
0.8350079,0.25460202,0.061297983,1.0995138
0.85824746,0.23347232,0.07853013,1.1710202
0.8663471,0.22604147,0.054917857,1.2256933
0.9321015,0.24428985,0.07012155,1.3055018
0.8027493,0.25171182,0.09554801,1.0065268
0.81276953,0.21178168,0.0963688,1.1056069
0.8316645,0.21994615,0.07958486,1.1438519
0.85837084,0.23925652,0.0925343,1.1456944
0.7970555,0.22663182,0.070164226,1.0706831
