vae_loss,recon_loss,kl_loss,dyn_loss
1.1045828,0.44459128,0.0027277165,1.3172554
1.0619564,0.36904094,0.0008702902,1.3849605
0.88847566,0.43478572,0.001430988,0.9059489
1.1343596,0.38090315,0.0015890303,1.5053239
0.90496194,0.36555076,0.002694323,1.076128
0.8943391,0.34487197,0.00246729,1.096467
0.9140137,0.35253063,0.0018550947,1.121111
0.82983637,0.34600157,0.0016695342,0.966
0.86149406,0.36827913,0.0015325446,0.9848973
1.052262,0.37060562,0.0021156166,1.3611971
0.87344956,0.36947322,0.0029633855,1.0049893
0.9282063,0.3540753,0.0027084856,1.1455536
0.85574,0.31161693,0.0037341963,1.084512
0.9980444,0.36157095,0.0034631388,1.2694837
0.89997315,0.3444756,0.0040185205,1.1069766
0.9086969,0.34451923,0.0027146356,1.1256406
0.9718586,0.3258339,0.0023311225,1.2897183
0.90674835,0.36002684,0.003017197,1.0904258
0.86030674,0.3541609,0.0030982837,1.0091933
1.0908399,0.3461396,0.0027032818,1.4866971
0.8060906,0.315726,0.0032417641,0.9774874
0.8554776,0.3458153,0.0032221242,1.0161024
0.9696051,0.330626,0.002862993,1.2750952
0.90755355,0.37107703,0.0023193278,1.0706336
0.94503754,0.3799456,0.003076762,1.1271071
0.83389837,0.3561744,0.0025703143,0.9528776
1.0436473,0.38456973,0.0033725481,1.3147826
0.8975466,0.38104784,0.00264451,1.030353
0.86398387,0.38492468,0.00337342,0.9547449
0.74260604,0.3653873,0.0054779546,0.7489595
0.87021863,0.38242415,0.0035364225,0.9720525
0.9648727,0.35831535,0.0059930575,1.2071216
0.78114086,0.34765533,0.0033932596,0.86357784
0.8198435,0.3184486,0.0038494365,0.9989403
0.82785714,0.36900902,0.004036714,0.91365945
0.9534486,0.37652183,0.005243917,1.1486096
0.84961545,0.3126602,0.005701544,1.068209
0.79718685,0.3511753,0.0068697566,0.88515335
0.7895549,0.3533042,0.0054965387,0.8670048
0.77306503,0.30994245,0.0054635494,0.9207816
0.7610047,0.3502583,0.007741433,0.8137513
0.8345053,0.37649658,0.0084116515,0.9076059
0.8278113,0.32657042,0.0057410756,0.9967407
0.7683749,0.3581967,0.005730261,0.8146261
0.77804446,0.33871725,0.0068377797,0.8718166
0.71975505,0.30725724,0.0048041083,0.82019156
0.9698177,0.42707288,0.0053186654,1.080171
0.8065279,0.34620628,0.0046882587,0.915955
0.71896696,0.29011616,0.0049643097,0.85273737
0.7718947,0.34128588,0.009064585,0.852153
0.7282218,0.3446917,0.0044095456,0.76265055
0.7193988,0.3398242,0.0064733755,0.75267583
0.734072,0.3820526,0.0064882743,0.6975506
0.74130917,0.3407528,0.0056002997,0.7955125
0.6940675,0.33414736,0.005323671,0.71451664
0.7941036,0.33956718,0.005571783,0.90350103
0.6248032,0.35024092,0.0058411383,0.54328346
0.7315233,0.35941687,0.005111184,0.7391016
0.6579435,0.32304305,0.0092035625,0.6605974
0.8452432,0.36445633,0.008284817,0.9532889
0.5968666,0.31306925,0.007916673,0.559678
0.7708199,0.36604574,0.0077969097,0.80175143
0.9012805,0.35766262,0.0071436996,1.0800922
0.7429036,0.32618323,0.006325408,0.8271153
0.7975857,0.3627578,0.009241861,0.860414
0.7482921,0.3132966,0.007179981,0.8628111
0.7169219,0.3361942,0.01015378,0.75130165
0.65821254,0.32253638,0.006377929,0.6649744
0.8059491,0.38715425,0.008352306,0.82923746
0.7048589,0.37034836,0.010077296,0.65894383
0.7375536,0.3573828,0.012972834,0.7473687
0.70749414,0.37771636,0.012889692,0.6466659
0.75011975,0.38815418,0.013753333,0.7101778
0.67453456,0.3059424,0.014091978,0.72309244
0.6497115,0.34701887,0.015281069,0.5901041
0.760944,0.3703228,0.016543554,0.76469886
0.7549055,0.34865692,0.019638758,0.7928584
0.7134833,0.3370458,0.018075822,0.73479915
0.81533504,0.3156909,0.016800612,0.9824877
0.8290602,0.40900108,0.02439979,0.81571835
0.6595949,0.31461433,0.020820925,0.6691402
0.8285747,0.32303718,0.021812418,0.98926264
0.782683,0.37282073,0.026019806,0.7937048
0.67491305,0.31088564,0.026794383,0.7012605
0.7178228,0.34215903,0.034222677,0.7171049
0.6060836,0.29851618,0.028682636,0.5864521
0.6784189,0.34164345,0.030100737,0.6434501
0.7152483,0.34422064,0.031231703,0.7108236
0.7966762,0.34638247,0.027631802,0.8729557
0.76888883,0.33389363,0.027605297,0.8423852
0.711275,0.33574215,0.028992247,0.7220734
0.77122986,0.33257157,0.021625828,0.8556907
0.6778588,0.32132196,0.027987765,0.68508595
0.79789424,0.35293368,0.024633007,0.86528814
0.694596,0.3457578,0.02217774,0.6754986
0.6427988,0.3405598,0.01947828,0.5849997
0.75583637,0.31834936,0.028169403,0.8468046
0.65028554,0.3402391,0.02941258,0.5906803
0.7574834,0.3474117,0.025851097,0.7942924
0.771307,0.3425069,0.03447055,0.82312965
0.6483785,0.31376338,0.029803604,0.6394266
0.6743208,0.3125004,0.040733088,0.6829077
0.637113,0.32014182,0.036122806,0.59781957
0.7167976,0.31914395,0.04582986,0.74947745
0.7841578,0.33603606,0.044290576,0.8519529
0.7071029,0.33482787,0.055344105,0.6892059
0.6609654,0.3190465,0.042705506,0.64113224
0.71734416,0.34670857,0.041025084,0.70024616
0.6349683,0.3386827,0.040886495,0.5516847
0.78024983,0.29394028,0.0434279,0.9291913
0.6550596,0.3130386,0.042257003,0.64178497
0.6809033,0.30486056,0.041437242,0.71064824
0.5729244,0.27562279,0.036094673,0.5585085
0.75514185,0.30451864,0.041985292,0.8592611
0.72593725,0.3451588,0.04060065,0.7209562
0.67811686,0.3456105,0.045453876,0.6195588
0.7084498,0.34231812,0.053964727,0.6782986
0.64022064,0.31027362,0.04915825,0.61073583
0.9188627,0.35582557,0.05503709,1.0710372
0.6637564,0.31954128,0.06273233,0.62569785
0.7410464,0.31845367,0.04568839,0.79949707
0.70642793,0.3041159,0.051222607,0.7534014
0.61948407,0.30555096,0.04448711,0.58337915
0.7338761,0.30089846,0.07313195,0.7928233
0.6632582,0.32359847,0.054395236,0.62492424
0.6719991,0.29681215,0.046892572,0.70348126
0.7290668,0.35809958,0.065117165,0.67681724
0.74087703,0.33510023,0.051150635,0.760403
0.66586035,0.31172743,0.054698925,0.6535669
0.76369,0.34655082,0.047599383,0.78667897
0.7130408,0.3492016,0.05904258,0.6686359
0.7444013,0.3570122,0.07035058,0.70442754
0.56425226,0.29764247,0.055222187,0.47799733
0.6327077,0.33622953,0.05618425,0.53677213
0.7772999,0.33676925,0.06775278,0.8133084
0.60835266,0.30627486,0.058607083,0.54554856
0.60984445,0.3108965,0.057328958,0.54056704
0.66688603,0.29519096,0.072697975,0.67069215
0.62812054,0.3084841,0.07867084,0.56060195
0.6587392,0.30485445,0.07415749,0.63361204
0.5608419,0.29402098,0.071015835,0.46262607
0.6365949,0.32463446,0.068181075,0.55573976
0.75210726,0.32852942,0.08012618,0.7670295
0.7212881,0.31833532,0.06650882,0.7393967
0.6258086,0.2888426,0.06642726,0.6075048
0.7877721,0.3139583,0.08117349,0.8664542
0.6989958,0.33276215,0.078116156,0.65435123
0.6568748,0.32281455,0.06502981,0.6030907
0.5346767,0.3113495,0.068348855,0.3783054
0.6843241,0.34474173,0.06263538,0.61652935
0.6768294,0.30668423,0.057380192,0.68291014
0.6129916,0.29236132,0.06562815,0.57563233
0.7123933,0.30941513,0.07724501,0.72871137
0.62275136,0.28962204,0.07956342,0.5866952
0.69371045,0.33154476,0.08396982,0.6403615
0.6587136,0.31277016,0.058426663,0.6334602
0.74498975,0.35393226,0.088402554,0.6937124
0.7408603,0.33398905,0.086373255,0.7273692
0.7077726,0.33034772,0.095706254,0.6591435
0.70192707,0.34064353,0.112239264,0.6103279
0.6444888,0.3256772,0.09207712,0.5455462
0.64176023,0.30855033,0.11010348,0.5563164
0.7037264,0.25799376,0.12941615,0.7620492
0.6333343,0.28304502,0.119653806,0.58092475
0.80914414,0.29794705,0.12342649,0.89896774
0.8053627,0.37465262,0.11170372,0.74971646
0.756755,0.28667668,0.096629426,0.8435272
0.71180224,0.32802764,0.10614723,0.6614019
0.7426317,0.34148195,0.08396394,0.71833545
0.7240442,0.30901766,0.07457886,0.75547427
0.62306046,0.26739663,0.061505686,0.64982206
0.7869021,0.31603137,0.070438065,0.87130344
0.6211867,0.30666277,0.06583534,0.56321245
0.65936387,0.31866276,0.066671625,0.61473066
0.6970882,0.33874682,0.07186275,0.64482
0.78846467,0.3371915,0.077958,0.8245883
0.6712432,0.28825003,0.08526199,0.6807244
0.6437739,0.32578278,0.09482208,0.5411602
0.7580935,0.32662344,0.119641036,0.743299
0.61358774,0.28611028,0.12715097,0.527804
0.65483534,0.28894562,0.13189234,0.5998871
0.7385793,0.32342154,0.11480486,0.71551055
0.7846886,0.29035443,0.1236916,0.8649767
0.5826037,0.2818637,0.088838786,0.51264113
0.6265534,0.2931481,0.09112459,0.575686
0.77622175,0.28444797,0.09377796,0.8897697
0.72180617,0.29486713,0.09123703,0.76264113
0.6504952,0.29398903,0.07837416,0.6346381
0.6523751,0.32281464,0.10450207,0.5546189
0.66746193,0.29581267,0.0919794,0.65131915
0.62847406,0.2790219,0.10479704,0.5941073
0.60506535,0.27519116,0.09517627,0.5645721
0.6645334,0.28423107,0.104452714,0.65615183
0.6761446,0.29755366,0.11288965,0.6442923
0.6868856,0.2690484,0.10687143,0.72880304
0.69369125,0.29737708,0.11463988,0.6779885
0.6932287,0.26450157,0.121615425,0.73583895
0.6204793,0.2787074,0.1264961,0.5570476
0.62407064,0.2633462,0.12437039,0.5970785
0.6957737,0.29881465,0.14908786,0.6448302
0.8171128,0.33121374,0.13366885,0.83812934
0.65187025,0.29225627,0.11095447,0.60827345
0.6019151,0.27396438,0.13839588,0.5175057
0.7247062,0.26842257,0.11449117,0.798076
0.66534686,0.2647145,0.101238154,0.70002663
0.6657772,0.2910128,0.091789514,0.6577392
0.7716725,0.29220706,0.097517125,0.8614137
0.56245226,0.26581952,0.09092375,0.50234175
