step,return,dt_ratio,trajectory,std_return,cont_cunt
3050,440.66261900829625,"[0, 0, 1, 1, 3, 6, 3, 7, 7, 9, 11, 11, 13, 23, 17, 13, 15, 24, 19, 28, 27, 26, 23, 30, 26, 32, 39, 36, 30, 7, 0]",0,69.682367512346,48.7
3100,669.306692845924,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 3, 6, 10, 16, 19, 35, 19, 40, 35, 37, 44, 25, 32, 26, 36, 21, 28, 23, 20, 2, 0]",0,82.6160029918967,48.2
3150,772.7762656788207,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 2, 9, 9, 4, 6, 15, 16, 32, 33, 40, 36, 44, 43, 43, 42, 37, 17, 2, 0]",0,46.25202456726933,43.6
3200,800.7370170933132,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3, 3, 3, 14, 8, 17, 24, 34, 47, 71, 74, 61, 32, 3, 0]",0,57.01967767783372,39.7
3250,828.4278260454639,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 5, 3, 4, 5, 9, 10, 8, 23, 27, 39, 45, 59, 57, 61, 38, 6, 0]",0,31.980989496694427,40.2
3300,642.0441236158532,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 5, 6, 6, 10, 7, 16, 18, 22, 44, 62, 71, 82, 36, 4, 0]",0,133.11022225486272,39.49999999999999
3350,808.4837518620542,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 2, 0, 1, 1, 5, 9, 9, 12, 24, 22, 29, 41, 69, 79, 58, 29, 6, 0]",0,32.36841461301429,40.0
3400,767.8878466088137,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 0, 2, 0, 5, 5, 0, 6, 9, 8, 22, 20, 29, 31, 39, 48, 68, 61, 42, 6, 0]",0,49.09257263867368,40.5
3450,798.2815732221695,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 2, 1, 4, 6, 4, 24, 15, 16, 24, 34, 39, 57, 58, 68, 41, 5, 0]",0,51.98445474572627,40.1
3500,747.2234573655542,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 4, 2, 4, 7, 11, 12, 13, 20, 38, 44, 59, 58, 63, 47, 10, 0]",0,31.15530797641819,39.599999999999994
3550,787.6393200923802,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 5, 11, 8, 22, 24, 30, 58, 69, 63, 69, 33, 0, 0]",0,29.30513990449449,39.5
3600,733.4411273015396,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 1, 3, 2, 1, 6, 2, 12, 14, 24, 33, 48, 71, 74, 66, 27, 8, 0]",0,162.0145017415094,39.599999999999994
3650,803.5982917091783,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 2, 2, 1, 7, 10, 16, 23, 26, 32, 41, 48, 42, 56, 49, 47, 3, 0]",0,18.17545773764817,40.800000000000004
3700,807.7742205990354,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 4, 2, 5, 3, 12, 11, 23, 18, 31, 49, 60, 72, 59, 41, 5, 0]",0,16.740897988424923,39.9
3750,815.5469791267845,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 1, 2, 4, 6, 3, 14, 17, 25, 33, 42, 50, 63, 45, 52, 37, 7, 0]",0,23.679207943526958,40.5
3800,749.2763564843881,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 1, 2, 4, 4, 10, 15, 25, 45, 64, 67, 91, 45, 20, 1, 0]",0,52.677895498406585,39.8
3850,777.931578861662,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 5, 8, 21, 40, 38, 43, 43, 40, 54, 40, 42, 37, 9, 3, 0]",0,127.20636856181054,42.699999999999996
3900,782.7727476882097,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 7, 11, 14, 31, 22, 28, 38, 48, 53, 70, 51, 26, 4, 0]",0,31.643161901709984,40.7
3950,826.7819200440351,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 4, 12, 23, 43, 40, 58, 43, 75, 48, 33, 23, 2, 0]",0,8.202575220921425,40.9
4000,809.218623292062,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 8, 9, 25, 37, 43, 41, 55, 65, 52, 45, 21, 3, 0]",0,18.47721062061192,41.1
4050,802.1065033622999,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 6, 6, 10, 23, 24, 42, 44, 40, 45, 54, 54, 42, 21, 2, 0]",0,16.24334891663295,41.7
4100,801.0577175478658,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 4, 2, 3, 6, 10, 11, 19, 36, 55, 49, 74, 50, 51, 28, 3, 0]",0,14.383548231182747,40.50000000000001
